,GEO_ID,E_Total_population_SX_AGE_2020,E_HSPNC_Total_population_2020,E_NOTHSPNC_White_alone_2020,P_NOTHSPNC_White_alone_2020,E_Under35_SX_AGE_2020,E_Total_population_SX_AGE_2021,E_HSPNC_Total_population_2021,E_NOTHSPNC_White_alone_2021,P_NOTHSPNC_White_alone_2021,E_Under35_SX_AGE_2021,E_Total_population_SX_AGE_2022,E_HSPNC_Total_population_2022,E_NOTHSPNC_White_alone_2022,P_NOTHSPNC_White_alone_2022,E_Under35_SX_AGE_2022
393,6007000104,5774,202,808,14,1835,6012,227,931,15.5,2087.8,5873,5873,5873,5873,2116.2
394,6007000201,3843,49,686,17.9,1226.3,4219,36,613,14.5,1541.7,4140,4140,4140,4140,1544
395,6007000202,3817,144,724,19,1121.1,3938,160,653,16.6,1169.6,3706,3706,3706,3706,1115.9
396,6007000300,4618,231,890,19.3,1486.1,4793,211,1005,21,1592.6,4785,4785,4785,4785,1557.1
397,6007000401,4883,7,1058,21.7,2101.5,5429,43,969,17.8,2198.8,5424,5424,5424,5424,2279.2
398,6007000403,3324,202,749,22.5,1095.6,3466,245,540,15.6,1103.3,3528,3528,3528,3528,1247.5
399,6007000404,3931,26,291,7.4,1256.3,3832,20,253,6.6,1094.8,3642,3642,3642,3642,1090.1
400,6007000501,4564,61,782,17.1,2348.8,4795,74,725,15.1,2409,4684,4684,4684,4684,2343.5
401,6007000502,4895,475,1261,25.8,3310.1,5384,612,1280,23.8,3831.8,5199,5199,5199,5199,3649
402,6007000601,3599,70,374,10.4,1273.9,3824,71,306,8,1361.7,3556,3556,3556,3556,1173
403,6007000603,3641,226,456,12.5,2691.9,3777,211,473,12.5,2672.5,3653,3653,3653,3653,2634.5
404,6007000604,4498,323,891,19.8,3381.9,4400,94,944,21.5,3026.9,4519,4519,4519,4519,3050.8
405,6007000700,4714,74,512,10.9,1426,4946,106,990,20,1631.8,4825,4825,4825,4825,1609.8
406,6007000800,6097,170,274,4.5,2170.8,6175,233,423,6.9,2191.7,6161,6161,6161,6161,2338.6
407,6007000901,3032,50,411,13.6,827.3,3010,56,338,11.2,825.8,2921,2921,2921,2921,833.8
408,6007000903,6531,384,1457,22.3,2197.9,6487,386,1198,18.5,2167.1,5977,5977,5977,5977,2004.1
409,6007000904,7076,48,560,7.9,2566.2,7192,92,753,10.5,2504.6,7184,7184,7184,7184,2429.7
410,6007001000,4356,270,544,12.5,2511.7,4599,295,711,15.5,2740.8,5825,5825,5825,5825,3607.7
411,6007001100,4272,51,968,22.7,2241,3803,51,782,20.6,1802.8,3751,3751,3751,3751,1627.1
412,6007001200,4034,144,982,24.3,2259.9,4440,47,1108,25,2474.3,3821,3821,3821,3821,2089.1
413,6007001300,3563,211,745,20.9,1221.5,3555,287,718,20.2,1173.6,3707,3707,3707,3707,1260.5
414,6007001400,6182,32,642,10.4,1787.1,6750,2,606,9,1973.1,6593,6593,6593,6593,1699.4
415,6007001500,6073,262,442,7.3,1837.9,5871,338,268,4.6,1799,6240,6240,6240,6240,1868.3
416,6007001601,1699,0,188,11.1,462.5,1937,0,153,7.9,500,1910,1910,1910,1910,560.4
417,6007001602,3310,30,217,6.6,1006.5,3187,54,201,6.3,949.2,3122,3122,3122,3122,860.3
418,6007001702,5101,0,286,5.6,1434.9,4761,0,223,4.7,1145,4450,4450,4450,4450,1280.2
419,6007001703,2712,10,160,5.9,962.4,2202,17,148,6.7,824.7,1872,1872,1872,1872,701.3
420,6007001704,3967,0,664,16.7,1006.4,4107,25,664,16.2,1058.8,3744,3744,3744,3744,974.2
421,6007001800,3900,89,124,3.2,984.7,1901,34,92,4.8,555.3,1403,1403,1403,1403,468.7
422,6007001900,2070,65,0,0,324.8,941,37,0,0,163.9,1006,1006,1006,1006,261.4
423,6007002000,3939,35,184,4.7,976.9,1651,11,61,3.7,529.1,1391,1391,1391,1391,413.7
424,6007002100,3078,6,241,7.8,809.5,1483,15,175,11.8,373.3,1393,1393,1393,1393,379.1
425,6007002200,4331,2,246,5.7,1296.5,2563,0,71,2.8,803.4,2109,2109,2109,2109,617
